Cell type name,Cell class,Short name for MS,Helmstaeder name,EW1 name,Other names,EW II Type,Reference,Reference links,temporary comments,Stratification,peak position,Axon ,Dendritic field size,Dendritic field shape,Dendrite shape ,Dendritic field density,Soma layers,Surround suppression level,Response kinetics,Response polarity,Spiking,OS,DS,Count,Example
B/K AC (and subtypes),,,,,,,"Park et al., 2024",,,,,,,,,,,,,,,,,,
bifid/waterfall/.. ; cluster1-8,,,,,,,"Badea & Nathans, 2004",,,,,,,,,,,,,,,,,,
interplexiform,,,H34,,,,"Dedek et al., 2009",,,,,,,,,,,,,,,,,,
CA1,,,,,,,"Yan et al., 2020",,,,,,,,,,,,,,,,,,
CA2,,,,,,,"Yan et al., 2020",,,,,,,,,,,,,,,,,,
polyaxonal ?,,,,,"SAD, A1 ",,"Voegly et al, 2001",,,,,,,,,,,,,,,,,,
VG3,,,,,,,"Yan et al., 2020",,,,,,,,,,,,,,,,,,
VIP3,,,,,MF low in IPL transient ?,,"Perez de Sevilla Mueller et al., 2019",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
NEW EW II TYPES,,,,,,,,,,,,,,,,,,,,,,,,,
SAD medium,,,,,,,,,,,,,,,,,,,,,,,,,
SAD large,,,,,,,,,,,,,,,,,,,,,,,,,
SAD giant,,,,,,,,,,,,,,,,,,,,,,,,,
deeply SAD,,,,,,,,,,,,,,,,,,,,,,,,,
non-displaced MF low in IPL ,,,,,,,,,,monostratified diffuse,2,no,medium,symmetric,wavy,dense,INL,,,,,,,,
non-displaced nNOS-2,,,,,,,,,,,,,,,,,,,,,,,,,
H32,,,,,,non-displaced MF deep in IPL ,,,,monostratified layered,7,no,medium,symmetric,straight/ knotty,dense ,,,,,,,,,
nNos-1,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
example found ,,,,,,,,,,,,,,,,,,,,,,,,,
new match for existing types (literature or Julia),,,,,,,,,,,,,,,,,,,,,,,,,
confirmed match,,,,,,,,,,,,,,,,,,,,,,,,,
new type ,,,,,,,,,,,,,,,,,,,,,,,,,
